what,kind,bundleId,bundleVersion,description,time
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1586386547479
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1586386633116
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586386650554
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586386650743
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586386650747
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586386738038
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586386738844
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586387685799
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586387694626
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586387698161
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1586387698171
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586387700240
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586387704409
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1586387704417
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586387714968
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586387776428
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586387811731
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586389274793
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1586389275710
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586389291566
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586396825507
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586396846852
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586396854535
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586396856947
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1586396860683
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1586396860906
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1586396866691
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586396915739
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586410909727
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586410911110
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586410912547
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586410919447
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586411005168
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1586411014952
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586411024836
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1586411030216
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1586411032227
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586412059173
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586412670399
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586412670475
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586412671451
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586412671454
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586412671594
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586412671611
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586412672522
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586412672652
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1586412673094
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1586412673094
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.0.0.156,"com.altera.debug.cdi.gdb.plugin",1586412673094
stopped,bundle,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch",1586412674022
